B000944,Sherrod Brown
S001176,Steve Scalise
S001145,Janice D. Schakowsky
S001150,Adam B. Schiff
S000148,Charles E. Schumer
S001183,David Schweikert
S001189,Austin Scott
S001157,David Scott
S000185,Robert C. "Bobby" Scott
S001184,Tim Scott
S001185,Terri A. Sewell
S000344,Brad Sherman
S001148,Michael K. Simpson
S000510,Adam Smith
S001172,Adrian Smith
S000522,Christopher H. Smith
S001156,Linda T. Sánchez
T000193,Bennie G. Thompson
T000460,Mike Thompson
T000467,Glenn Thompson
T000250,John Thune
T000469,Paul Tonko
T000463,Michael R. Turner
V000128,Chris Van Hollen
V000081,Nydia M. Velázquez
W000798,Tim Walberg
W000797,Debbie Wasserman Schultz
W000187,Maxine Waters
W000806,Daniel Webster
W000800,Peter Welch
W000795,Joe Wilson
W000808,Frederica S. Wilson
W000804,Robert J. Wittman
W000809,Steve Womack
W000779,Ron Wyden
Y000064,Todd Young
A000369,Mark E. Amodei
B001278,Suzanne Bonamici
D000617,Suzan K. DelBene
M001184,Thomas Massie
P000604,Donald M. Payne, Jr.
S001194,Brian Schatz
F000454,Bill Foster
T000468,Dina Titus
C001095,Tom Cotton
S001191,Kyrsten Sinema
L000578,Doug LaMalfa
H001068,Jared Huffman
B001287,Ami Bera
S001193,Eric Swalwell
B001285,Julia Brownley
C001097,Tony Cárdenas
R000599,Raul Ruiz
T000472,Mark Takano
V000130,Juan Vargas
P000608,Scott H. Peters
F000462,Lois Frankel
D000622,Tammy Duckworth
B001282,Andy Barr
W000817,Elizabeth Warren
K000383,Angus S. King, Jr.
K000380,Daniel T. Kildee
W000812,Ann Wagner
D000618,Steve Daines
H001067,Richard Hudson
C001096,Kevin Cramer
F000463,Deb Fischer
K000382,Ann M. Kuster
M001188,Grace Meng
J000294,Hakeem S. Jeffries
W000815,Brad R. Wenstrup
B001281,Joyce Beatty
J000295,David P. Joyce
M001190,Markwayne Mullin
P000605,Scott Perry
C001090,Matt Cartwright
C001098,Ted Cruz
W000814,Randy K. Weber, Sr.
C001091,Joaquin Castro
W000816,Roger Williams
V000131,Marc A. Veasey
S001192,Chris Stewart
K000384,Tim Kaine
K000381,Derek Kilmer
P000607,Mark Pocan
K000385,Robin L. Kelly
S001195,Jason Smith
B001288,Cory A. Booker
C001101,Katherine M. Clark
N000188,Donald Norcross
A000370,Alma S. Adams
P000609,Gary J. Palmer
H001072,J. French Hill
W000821,Bruce Westerman
G000574,Ruben Gallego
D000623,Mark DeSaulnier
A000371,Pete Aguilar
L000582,Ted Lieu
T000474,Norma J. Torres
B001297,Ken Buck
C001103,Earl L. "Buddy" Carter
L000583,Barry Loudermilk
A000372,Rick W. Allen
B001295,Mike Bost
G000577,Garret Graves
M001196,Seth Moulton
M001194,John R. Moolenaar
D000624,Debbie Dingell
E000294,Tom Emmer
R000603,David Rouzer
W000822,Bonnie Watson Coleman
S001196,Elise M. Stefanik
B001296,Brendan F. Boyle
B001291,Brian Babin
B001292,Donald S. Beyer, Jr.
P000610,Stacey E. Plaskett
N000189,Dan Newhouse
G000576,Glenn Grothman
M001195,Alexander X. Mooney
R000600,Aumua Amata Coleman Radewagen
S001198,Dan Sullivan
E000295,Joni Ernst
T000476,Thom Tillis
R000605,Mike Rounds
K000388,Trent Kelly
L000585,Darin LaHood
D000626,Warren Davidson
C001108,James Comer
E000296,Dwight Evans
K000393,John Kennedy
H001076,Margaret Wood Hassan
C001113,Catherine Cortez Masto
S001190,Bradley Scott Schneider
B001302,Andy Biggs
K000389,Ro Khanna
P000613,Jimmy Panetta
C001112,Salud O. Carbajal
B001300,Nanette Diaz Barragán
C001110,J. Luis Correa
B001303,Lisa Blunt Rochester
G000578,Matt Gaetz
D000628,Neal P. Dunn
R000609,John H. Rutherford
S001200,Darren Soto
M001199,Brian J. Mast
F000465,A. Drew Ferguson IV
K000391,Raja Krishnamoorthi
B001299,Jim Banks
M001198,Roger Marshall
H001077,Clay Higgins
J000299,Mike Johnson
R000606,Jamie Raskin
B001301,Jack Bergman
B001305,Ted Budd
B001298,Don Bacon
G000583,Josh Gottheimer
R000608,Jacky Rosen
E000297,Adriano Espaillat
F000466,Brian K. Fitzpatrick
S001199,Lloyd Smucker
G000582,Jenniffer González-Colón
K000392,David Kustoff
G000581,Vicente Gonzalez
A000375,Jodey C. Arrington
J000298,Pramila Jayapal
G000579,Mike Gallagher
E000298,Ron Estes
N000190,Ralph Norman
G000585,Jimmy Gomez
C001114,John R. Curtis
S001203,Tina Smith
H001079,Cindy Hyde-Smith
L000589,Debbie Lesko
C001115,Michael Cloud
B001306,Troy Balderson
H001082,Kevin Hern
M001206,Joseph D. Morelle
S001205,Mary Gay Scanlon
W000826,Susan Wild
C001055,Ed Case
H001066,Steven Horsford
S001211,Greg Stanton
H001090,Josh Harder
P000618,Katie Porter
L000593,Mike Levin
N000191,Joe Neguse
C001121,Jason Crow
H001081,Jahana Hayes
W000823,Michael Waltz
S001214,W. Gregory Steube
M001208,Lucy McBath
F000469,Russ Fulcher
G000586,Jesús G. "Chuy" García
C001117,Sean Casten
U000040,Lauren Underwood
B001307,James R. Baird
P000615,Greg Pence
D000629,Sharice Davids
T000482,Lori Trahan
P000617,Ayanna Pressley
T000483,David J. Trone
S001208,Elissa Slotkin
S001215,Haley M. Stevens
T000481,Rashida Tlaib
C001119,Angie Craig
P000616,Dean Phillips
O000173,Ilhan Omar
S001212,Pete Stauber
G000591,Michael Guest
A000377,Kelly Armstrong
P000614,Chris Pappas
V000133,Jefferson Van Drew
K000394,Andy Kim
S001207,Mikie Sherrill
L000590,Susie Lee
O000172,Alexandria Ocasio-Cortez
D000631,Madeleine Dean
H001085,Chrissy Houlahan
M001204,Daniel Meuser
J000302,John Joyce
R000610,Guy Reschenthaler
T000480,William R. Timmons IV
J000301,Dusty Johnson
B001309,Tim Burchett
R000612,John W. Rose
G000590,Mark E. Green
C001120,Dan Crenshaw
G000589,Lance Gooden
F000468,Lizzie Fletcher
E000299,Veronica Escobar
R000614,Chip Roy
G000587,Sylvia R. Garcia
A000376,Colin Z. Allred
C001118,Ben Cline
S001209,Abigail Davis Spanberger
W000825,Jennifer Wexton
S001216,Kim Schrier
S001213,Bryan Steil
M001205,Carol D. Miller
S001217,Rick Scott
B001310,Mike Braun
H001089,Josh Hawley
R000615,Mitt Romney
G000592,Jared F. Golden
B001311,Dan Bishop
M001210,Gregory F. Murphy
M000687,Kweisi Mfume
T000165,Thomas P. Tiffany
G000061,Mike Garcia
K000377,Mark Kelly
L000571,Cynthia M. Lummis
I000056,Darrell Issa
S000250,Pete Sessions
V000129,David G. Valadao
T000278,Tommy Tuberville
H000273,John W. Hickenlooper
H000601,Bill Hagerty
C001054,Jerry L. Carl
M001212,Barry Moore
O000019,Jay Obernolte
K000397,Young Kim
S001135,Michelle Steel
J000305,Sara Jacobs
B000825,Lauren Boebert
C001039,Kat Cammack
F000472,C. Scott Franklin
D000032,Byron Donalds
G000593,Carlos A. Gimenez
S000168,Maria Elvira Salazar
W000788,Nikema Williams
C001116,Andrew S. Clyde
G000596,Marjorie Taylor Greene
H001091,Ashley Hinson
M001215,Mariannette Miller-Meeks
F000446,Randy Feenstra
M001211,Mary E. Miller
M001214,Frank J. Mrvan
S000929,Victoria Spartz
M000871,Tracey Mann
L000266,Jake LaTurner
A000148,Jake Auchincloss
M001136,Lisa C. McClain
F000470,Michelle Fischbach
B001224,Cori Bush
R000103,Matthew M. Rosendale, Sr.
R000305,Deborah K. Ross
M001135,Kathy E. Manning
L000273,Teresa Leger Fernandez
G000597,Andrew R. Garbarino
M000317,Nicole Malliotakis
T000486,Ritchie Torres
B001223,Jamaal Bowman
B000740,Stephanie I. Bice
B000668,Cliff Bentz
M000194,Nancy Mace
H001086,Diana Harshbarger
F000246,Pat Fallon
P000048,August Pfluger
J000304,Ronny Jackson
N000026,Troy E. Nehls
G000594,Tony Gonzales
V000134,Beth Van Duyne
M001213,Blake D. Moore
O000086,Burgess Owens
G000595,Bob Good
S001159,Marilyn Strickland
F000471,Scott Fitzgerald
P000145,Alex Padilla
O000174,Jon Ossoff
W000790,Raphael G. Warnock
T000478,Claudia Tenney
L000595,Julia Letlow
C001125,Troy A. Carter
S001218,Melanie A. Stansbury
E000071,Jake Ellzey
B001313,Shontel M. Brown
C001126,Mike Carey
C001127,Sheila Cherfilus-McCormick
F000474,Mike Flood
F000475,Brad Finstad
P000619,Mary Sattler Peltola
R000579,Patrick Ryan
Y000067,Rudy Yakym III
Z000018,Ryan K. Zinke
B001319,Katie Boyd Britt
S001227,Eric Schmitt
V000137,J.D. Vance
F000479,John Fetterman
S001220,Dale W. Strong
C001132,Elijah Crane
C001133,Juan Ciscomani
K000401,Kevin Kiley
D000633,John S. Duarte
M001225,Kevin Mullin
K000400,Sydney Kamlager-Dove
G000598,Robert Garcia
P000620,Brittany Pettersen
C001134,Yadira Caraveo
B001314,Aaron Bean
M001216,Cory Mills
F000476,Maxwell Frost
L000596,Anna Paulina Luna
L000597,Laurel M. Lee
M001217,Jared Moskowitz
M001218,Richard McCormick
C001129,Mike Collins
M001219,James C. Moylan
T000487,Jill N. Tokuda
N000193,Zachary Nunn
J000309,Jonathan L. Jackson
R000617,Delia C. Ramirez
B001315,Nikki Budzinski
S001225,Eric Sorensen
H001093,Erin Houchin
M001220,Morgan McGarvey
I000058,Glenn Ivey
S001221,Hillary J. Scholten
J000307,John James
T000488,Shri Thanedar
A000379,Mark Alford
B001316,Eric Burlison
E000235,Mike Ezell
D000230,Donald G. Davis
F000477,Valerie P. Foushee
E000246,Chuck Edwards
N000194,Wiley Nickel
J000308,Jeff Jackson
K000398,Thomas H. Kean, Jr.
M001226,Robert Menendez
V000136,Gabe Vasquez
L000598,Nick LaLota
S001222,George Santos
D000632,Anthony D’Esposito
G000599,Daniel S. Goldman
L000599,Michael Lawler
M001221,Marcus J. Molinaro
W000828,Brandon Williams
L000600,Nicholas A. Langworthy
L000601,Greg Landsman
M001222,Max L. Miller
S001223,Emilia Strong Sykes
B001317,Josh Brecheen
H001094,Val T. Hoyle
C001135,Lori Chavez-DeRemer
S001226,Andrea Salinas
L000602,Summer L. Lee
D000530,Christopher R. Deluzio
M001223,Seth Magaziner
F000478,Russell Fry
O000175,Andrew Ogles
M001224,Nathaniel Moran
S001224,Keith Self
L000603,Morgan Luttrell
D000594,Monica De La Cruz
C001130,Jasmine Crockett
C001131,Greg Casar
H001095,Wesley Hunt
K000399,Jennifer Kiggans
B001318,Becca Balint
G000600,Marie Gluesenkamp Perez
V000135,Derrick Van Orden
H001096,Harriet M. Hageman
R000618,Pete Ricketts
M001227,Jennifer L. McClellan
B000226,Richard Bassett
B000546,Theodorick Bland
B001086,Aedanus Burke
C000187,Daniel Carroll
C000538,George Clymer
C000710,Benjamin Contee
D000013,Tristram Dalton
E000155,Jonathan Elmer
F000100,William Few
F000224,William Floyd
G000012,George Gale
G000403,William Grayson
G000500,Jonathan Grout
H000368,Benjamin Hawkins
H000995,Benjamin Huntington
I000053,Ralph Izard
J000182,William Johnson
J000198,Samuel Johnston
L000201,Richard Lee
M000031,William Maclay
M000234,George Mathews
M000985,Robert Morris
P000092,George Partridge
P000102,William Paterson
S000624,William Smith
S000961,Michael Stone
V000053,Jeremiah Van Rensselaer
W000783,Henry Wynkoop
D000324,Philemon Dickinson
W000059,John Walker
A000307,John Ashe
B000167,Robert Barnwell
B001133,Aaron Burr
C000009,George Cabot
C000185,Charles Carroll
E000147,Oliver Ellsworth
G000139,Elbridge Gerry
H000916,Daniel Huger
J000036,Israel Jacobs
K000158,Philip Key
R000091,George Read
R000350,Moses Robinson
S000140,Cornelius Schoonmaker
S000242,Joshua Seney
S000340,Upton Sheredine
S000349,Roger Sherman
S000412,Peter Silvester
S000832,John Steele
S000866,Samuel Sterett
S001047,Jonathan Sturges
T000403,Thomas Tucker
W000216,Anthony Wayne
W000352,Alexander White
W000551,Hugh Williamson
W000560,Francis Willis
E000075,John Edwards
P000473,Richard Potts
A000280,James Armstrong
B000282,John Beatty
B000661,Elias Boudinot
B000671,Shearjashub Bourne
B000739,William Bradford
C000012,Lambert Cadwalader
C000163,Thomas Carnes
C000418,Abraham Clark
C000545,David Cobb
C000591,Peleg Coffin
D000157,William Dawson
E000060,Benjamin Edwards
F000178,Thomas Fitzsimons
F000282,Uriah Forrest
F000368,Frederick Frelinghuysen
G000211,Alexander Gillon
G000311,James Gordon
G000466,Samuel Griffin
H000750,Samuel Holten
I000035,William Irvine
L000178,Amasa Learned
L000200,Richard Lee
M000166,Alexander Martin
M000424,Joseph McDowell
M000622,Alexander Mebane
M000645,John Mercer
M000828,Stephen Mitchell
M000873,William Montgomery
N000055,Joseph Neville
N000109,Nathaniel Niles
P000320,Andrew Pickens
S000186,Thomas Scott
S001009,Caleb Strong
T000019,Silas Talbot
T000361,Thomas Tredwell
V000039,Peter Van Gaasbeck
V000104,John Vining
W000013,Jeremiah Wadsworth
W000051,Francis Walker
W000127,Artemas Ward
W000211,John Watts
W000491,Benjamin Williams
W000633,Paine Wingate
T000107,Henry Tazewell
W000114,George Walton
A000174,Fisher Ames
B000474,William Bingham
B000563,Timothy Bloodworth
B000669,Benjamin Bourne
B001014,Daniel Buck
C000624,Isaac Coles
C000848,Jeremiah Crabb
D000178,Henry Dearborn
D000578,Gabriel Duvall
E000010,Samuel Earle
G000173,Ezekiel Gilbert
G000434,Christopher Greenup
G000526,James Gunn
H000148,George Hancock
H000348,John Hathorn
H000431,John Heath
H000488,Thomas Henderson
H000508,John Henry
L000067,John Langdon
L000246,George Leonard
L000530,William Lyman
M000155,Humphrey Marshall
M001063,Frederick Muhlenberg
M001119,William Murray
O000101,Alexander Orr
P000018,John Page
P000026,Elijah Paine
P000108,John Patten
P000514,Francis Preston
R000092,Jacob Read
R000215,John Richards
R000548,Robert Rutherford
S000339,John Sherburne
S000555,Isaac Smith
S000753,Thomas Sprigg
S001029,William Strudwick
S001119,Zephaniah Swift
T000050,Absalom Tatom
T000389,Jonathan Trumbull
W000377,James White
B000570,William Blount
G000286,Benjamin Goodhue
H000841,John Howard
H000982,John Hunter
L000120,John Laurance
T000052,Josiah Tattnall
A000129,John Allen
B000396,Lemuel Benton
B000735,Theophilus Bradbury
B000875,David Brooks
B000991,Nathan Bryan
B001053,Stephen Bullock
B001081,Dempsey Burges
C000313,John Chapman
C000369,Nathaniel Chipman
C000563,James Cochran
C000600,Joshua Coit
D000073,James Davenport
E000089,George Ege
F000313,Theodore Foster
F000365,Nathaniel Freeman
H000266,Carter Harrison
H000803,Hezekiah Hosmer
L000115,Henry Latimer
L000377,James Lloyd
L000389,Matthew Locke
M000013,James Machir
M000226,Stevens Mason
M000256,William Matthews
M000336,Blair McClenachan
M000423,Joseph McDowell
M000946,Daniel Morgan
P000058,Isaac Parker
R000448,James Ross
R000550,John Rutherfurd
S000154,Philip Schuyler
S000448,Thomas Sinnickson
S000460,Samuel Sitgreaves
S000563,Jeremiah Smith
S000595,Nathaniel Smith
S000625,William Smith
S000633,William Smith
S000743,Peleg Sprague
S001095,John Swanwick
T000232,Mark Thomson
V000012,John Van Alen
W000513,John Williams
C000497,Joshua Clayton
H000661,John Hobart
N000142,William North
W000202,James Watson
B000198,Bailey Bartlett
B000731,Jonathan Brace
B000927,John Brown
B000929,John Brown
C000382,Gabriel Christie
C000572,William Cocke
C000764,William Cooper
C000863,William Craik
D000069,Franklin Davenport
D000165,Jonathan Dayton
D000254,George Dent
D000296,Samuel Dexter
D000331,Joseph Dickson
E000052,William Edmond
E000091,Joseph Eggleston
E000257,Thomas Evans
F000364,Jonathan Freeman
G000020,Albert Gallatin
G000235,Henry Glen
G000279,Samuel Goode
G000294,Elizur Goodrich
G000318,William Gordon
G000427,Ray Greene
H000299,Thomas Hartley
H000359,Jonathan Havens
I000011,James Imlay
J000227,James Jones
K000253,John Kittera
L000195,Henry Lee
L000336,James Linn
L000364,Samuel Livermore
L000528,Samuel Lyman
M000157,John Marshall
M000571,William McMillan
N000084,John Nicholas
N000161,Abraham Nott
P000021,Robert Page
P000065,Josiah Parker
P000357,Thomas Pinckney
P000381,Jonas Platt
P000482,Leven Powell
R000120,John Reed
S000222,Theodore Sedgwick
S000259,Samuel Sewall
S000693,Richard Spaight
T000141,George Thatcher
T000173,John Thomas
T000183,Richard Thomas
W000094,Robert Waln
F000301,Dwight Foster
H000629,William Hindman
M000976,Gouverneur Morris
B000017,John Bacon
B000477,John Bird
B000660,Thomas Boude
B000787,John Breckinridge
C000005,Samuel Cabell
C000627,John Colhoun
D000138,Thomas Davis
E000114,Christopher Ellery
E000153,Lucas Elmendorf
F000054,Paul Fearing
F000297,Abiel Foster
G000428,Thomas Greene
G000502,William Grove
H000475,Archibald Henderson
H000611,William Hill
H000986,Narsworthy Hunter
J000012,George Jackson
J000017,James Jackson
J000123,Charles Johnson
J000258,William Jones
L000204,Silas Lee
L000316,Levi Lincoln
L000401,George Logan
M000259,Ebenezer Mattoon
M000983,Lewis Morris
M000988,Thomas Morris
M001066,John Muhlenberg
O000041,Aaron Ogden
O000060,Simeon Olcott
P000190,Joseph Peirce
P000231,Elias Perkins
R000093,Nathan Read
R000553,John Rutledge
S000312,James Sheafe
S000330,William Shepard
S000582,Josiah Smith
S000752,Richard, Sprigg
S000994,John Stratton
T000025,Benjamin Taliaferro
T000273,Thomas Tillinghast
T000348,Uriah Tracy
U000022,George Upham
V000049,John Van Ness
W000046,Benjamin Walker
W000534,Robert Williams
W000722,Henry Woods
B001186,Pierce Butler
C000525,De Clinton
P000393,William Plumer
B000049,Theodorus Bailey
B000097,Simeon Baldwin
B000697,Walter Bowie
B000970,Phineas Bruce
C000406,Thomas Claiborne
C001026,Manasseh Cutler
D000243,John Dennis
D000583,Thomas Dwight
E000008,John Earle
G000196,James Gillespie
G000467,Thomas Griffin
G000482,Gaylord Griswold
H000133,Samuel Hammond
H000140,Wade Hampton
H000570,Daniel Hiester
H000695,John Hoge
H000976,Samuel Hunt
L000097,Simon Larned
L000294,Thomas Lewis
L000482,Thomas Lowndes
M000029,Samuel Maclay
M000359,Andrew McCord
M000824,Nahum Mitchell
M001039,James Mott
P000036,Beriah Palmer
P000101,John Paterson
P000298,Oliver Phelps
P000378,Thomas Plater
P000468,Samuel Potter
P000577,Samuel Purviance
S000471,Thomson Skinner
S000557,Israel Smith
S000567,John Smith
S000912,John Stewart
T000143,Samuel Thatcher
T000262,George Tibbits
T000370,John Trigg
V000045,Isaac Van Horne
V000083,Abraham Venable
W000392,Samuel White
W000526,Lemuel Williams
A000282,John Armstrong
H000870,Benjamin Howland
M000891,Andrew Moore
A000100,Nathaniel Alexander
A000191,Isaac Anderson
A000272,John Archer
B000084,Abraham Baldwin
B000301,George Bedinger
B000425,Silas Betton
B000488,Phanuel Bishop
B000989,Joseph Bryan
C000226,Levi Casey
C000424,Christopher Clark
C000704,Frederick Conrad
C000817,Leonard Covington
D000333,William Dickson
D000582,Theodore Dwight
E000014,Peter Early
E000130,Caleb Ellis
E000154,Ebenezer Elmer
F000074,James Fenner
F000322,John Fowler
G000248,Calvin Goddard
G000488,Roger Griswold
H000090,Silas Halsey
H000111,John Hamilton
H000161,John Hanna
H000331,Seth Hastings
H000811,David Hough
K000246,Aaron Kitchell
L000367,Henry Livingston
L000478,Christian Lower
L000492,John Lucas
M000057,Patrick Magruder
M000437,Duncan McFarlan
M000614,Cowles Mead
M000649,David Meriwether
N000100,Joseph Nicholson
O000067,Gideon Olin
R000051,Thomas Randolph
S000015,Peter Sailly
S000041,Thomas Sandford
S000149,Martin Schuneman
S000524,Daniel Smith
S000570,John Smith
S000598,O’Brien Smith
S000698,Thomas Spalding
S000805,Joseph Stanton
S001073,Thomas Sumter
T000127,Samuel Tenney
T000213,Philip Thompson
T000249,Buckner Thruston
W000014,Peleg Wadsworth
W000116,Matthew Walton
W000403,John Whitehill
W000440,Eliphalet Wickes
W000531,Nathan Williams
W000642,Joseph Winston
W000786,Thomas Wynns
M000712,John Milledge
A000092,Evan Alexander
B000144,Joseph Barker
B000446,Barnabas Bidwell
B000533,John Blake
B000729,John Boyle
B000745,Stephen Bradley
B000888,James Broom
C000148,Peter Carleton
C000403,John Claiborne
C000426,Daniel Clark
C000486,Joseph Clay
C000526,George Clinton
C000947,Jacob Crowninshield
D000047,Ezra Darby
D000173,Josiah Dean
D000565,Daniel Durell
E000122,James Elliott
F000344,Jesse Franklin
G000052,Francis Gardner
G000075,James Garnett
G000293,Chauncey Goodrich
G000442,Andrew Gregg
H000245,John Harris
H000573,John Hiester
H000699,William Hoge
H000957,Reuben Humphrey
I000009,Daniel Ilsley
J000220,George Jones
K000073,James Kelly
K000239,William Kirkpatrick
K000286,Nehemiah Knight
M000232,Josiah Masters
M000240,Elisha Mathewson
M000387,William McCreery
M000864,Daniel Montgomery
M001005,John Morrow
P000052,Benjamin Parke
P000067,Nahum Parker
P000562,John Pugh
R000212,Jacob Richards
R000257,Samuel Riker
R000529,John Russell
S000493,James Sloan
S000562,Jedediah Smith
S000566,John Smith
S000978,Joseph Story
S001096,Peter Swart
T000163,David Thomas
T000268,Edward Tiffin
T000368,Abram Trigg
V000011,James Van Alen
V000022,Philip Van Cortlandt
V000088,Daniel Verplanck
W000454,Isaac Wilbour
W000529,Marmaduke Williams
W000568,Alexander Wilson
W000606,Nathan Wilson
W000657,James Witherell
M000633,Return Meigs
M000043,James Madison
A000136,Joseph Allen
A000165,Lemuel Alston
A000197,Joseph Anderson
B000530,Daniel Blaisdell
B000802,Richard Brent
B000928,John Brown
C000045,Joseph Calhoun
C000076,Alexander Campbell
C000091,John Campbell
C000279,John Chamberlain
C000280,William Chamberlain
C000289,Christopher Champlin
C000723,Orchard Cook
C000834,James Cox
C000910,Henry Crist
D000240,William Denning
G000049,Barent Gardenier
G000054,Gideon Gardner
G000066,David Garland
G000136,Obadiah German
G000489,Stanley Griswold
H000354,Nathaniel Haven
H000464,William Helms
H000571,Daniel Hiester
H000618,James Hillhouse
H000718,James Holland
H000834,Benjamin Howard
H000886,Jonathan Hubbard
J000087,Robert Jenkins
J000254,Walter Jones
K000089,Thomas Kenan
K000282,Herman Knickerbocker
L000036,John Lambert
L000229,Michael Leib
L000363,Edward Livermore
L000456,John Love
L000545,Matthew Lyon
M000076,Francis Malbone
M000130,Robert Marion
M000239,Vincent Mathews
M000520,William McKinley
M000750,Pleasant Miller
M001076,Gurdon Mumford
N000041,Roger Nelson
N000086,Wilson Nicholas
N000098,John Nicholson
P000330,Benjamin Pickman
P000443,John Porter
P000493,Julien Poydras
R000218,Matthias Richards
R000346,Jonathan Robinson
S000098,Benjamin Say
S000200,John Scudder
S000507,Dennis Smelt
S000610,Samuel Smith
S000800,John Stanly
S000828,William Stedman
S001125,Jacob Swoope
T000206,John Thompson
U000023,Jabez Upham
V000043,Archibald Van Horne
V000054,Killian Van Rensselaer
W000220,Robert Weakley
W000411,Jenkin Whiteside
W000592,James Wilson
W000661,Robert Witherspoon
C001031,Charles Cutts
T000085,John Taylor
W000750,Thomas Worthington
B000015,Ezekiel Bacon
B000067,John Baker
B000207,Josiah Bartlett
B000249,James Bayard
B000511,William Blackledge
B000555,Harmanus Bleecker
B000569,Thomas Blount
B000714,Adam Boyd
B001194,William Butler
C000175,Francis Carr
C000372,Martin Chittenden
C000547,Howell Cobb
C000564,James Cochran
C000734,Thomas Cooke
C000895,William Crawford
C001033,Richard Cutts
D000357,Samuel Dinsmoor
E000176,James Emott
F000156,Asa Fitch
G000039,Barzillai Gannett
G000183,William Giles
G000215,Nicholas Gilman
G000394,Edwin Gray
G000413,Isaiah Green
H000064,Obed Hall
H000223,John Harper
H000865,Jeremiah Howell
K000159,Philip Key
L000212,Joseph Lefever
L000370,Robert Livingston
M000267,George Maxwell
M000302,Archibald McBryde
M000668,Arunah Metcalf
M000785,James Milnor
M000831,Samuel Mitchill
M000867,John Montgomery
M000951,James Morgan
N000064,Thomas Newbold
P000146,William Paulding
P000425,Benjamin Pond
Q000015,Josiah Quincy
R000375,William Rodman
S000023,Thomas Sammons
S000215,Ebenezer Seaver
